	control.B01	control.B02	control.B03	control.B04	control.B05	control.B06	experimental.B07	experimental.B08	experimental.B09	experimental.B10	experimental.B11	experimental.B12
nascent polypeptide-associated complex subunit betaFUNC_PR38463	2	0	0	0	2	1	0	3	1	2	0	0
nascent polypeptide-associated complex subunit beta-likeFUNC_PR38464	1	0	0	0	1	0	0	0	0	0	0	0
nascent polypeptide-associated complex, alpha subunitFUNC_PR38465	0	1	0	0	0	0	1	0	0	0	0	1
Nat1FUNC_PR38466	1	0	0	0	1	0	0	0	1	0	0	0
Nat2FUNC_PR38467	4	0	0	5	33	10	0	7	7	20	15	0
Nat2pFUNC_PR38468	2	3	0	22	82	7	4	7	27	59	35	0
Nat3FUNC_PR38469	0	0	0	0	2	0	0	0	0	0	1	0
natural resistance-associated macrophage proteinFUNC_PR38470	0	0	0	0	0	1	0	0	0	0	0	0
natural resistance-associated macrophage protein, partialFUNC_PR38471	0	0	0	0	0	0	0	1	0	0	0	0
Nba1FUNC_PR38472	0	0	0	0	2	0	0	0	0	1	4	0
Nba1pFUNC_PR38473	6	0	0	11	9	0	1	3	5	24	8	0
Nbl1pFUNC_PR38474	0	0	0	1	20	4	2	3	7	27	19	2
Nbp1FUNC_PR38475	0	0	0	1	0	0	0	0	0	0	3	0
Nbp1pFUNC_PR38476	0	0	0	1	0	0	0	1	1	8	0	0
Nbp2FUNC_PR38477	0	0	0	0	0	0	0	0	0	1	0	0
Nbp2pFUNC_PR38478	1	1	0	2	6	0	1	5	2	14	6	0
Nbp35FUNC_PR38479	0	0	0	2	15	2	0	2	0	6	6	0
Nca2FUNC_PR38480	0	0	0	0	0	0	0	0	0	1	1	0
NCA2-domain-containing proteinFUNC_PR38481	0	0	0	1	1	0	0	2	0	0	0	0
NCA2-like proteinFUNC_PR38482	0	0	0	1	1	1	0	0	0	0	0	0
Nca2pFUNC_PR38483	0	1	0	15	12	4	2	3	5	20	7	0
Nca3FUNC_PR38484	33	46	0	365	241	45	17	70	72	464	349	6
NCA3-like proteinFUNC_PR38485	3	12	0	76	65	6	1	2	3	78	51	0
Ncb2FUNC_PR38486	0	0	0	2	8	1	3	3	8	26	6	0
NCB2-like proteinFUNC_PR38487	0	0	0	0	2	0	2	0	0	2	1	0
Nce101pFUNC_PR38488	0	0	0	5	7	0	3	5	9	31	13	0
Nce102FUNC_PR38489	265	138	0	74	142	48	41	40	29	143	197	0
NCE102-like proteinFUNC_PR38490	48	25	0	37	45	2	27	25	9	29	80	2
Nce102pFUNC_PR38491	13	8	0	10	16	4	8	9	5	19	18	5
Nce103FUNC_PR38492	0	2	0	0	2	1	1	4	1	5	1	0
NCE103-like proteinFUNC_PR38493	0	0	0	0	0	0	2	0	0	0	0	0
Ncl1FUNC_PR38494	0	0	0	2	5	0	3	4	1	3	0	0
NCL1-like proteinFUNC_PR38495	0	0	0	1	0	0	0	5	0	1	0	0
Ncp1FUNC_PR38496	29	1	0	30	63	10	6	22	5	59	21	0
NCP1-like proteinFUNC_PR38497	6	2	0	6	5	0	0	1	3	3	3	0
Ncr1FUNC_PR38498	2	1	0	3	1	0	1	0	0	0	1	0
NCR1, Niemann-pick type CFUNC_PR38499	1	0	0	0	0	0	1	1	0	0	0	0
NCS1 family nucleobase:cation symporter-1FUNC_PR38500	0	0	0	0	0	5	0	0	0	0	0	0
NCS1 nucleoside transporter familyFUNC_PR38501	0	5	0	0	0	0	0	0	0	0	0	0
Ncs2FUNC_PR38502	0	0	0	0	0	0	1	0	0	0	0	0
NCS2 family nucleobase:cation symporter-2FUNC_PR38503	0	0	0	0	1	0	0	0	0	0	0	0
NCS2 family nucleobase:cation symporter-2, partialFUNC_PR38504	5	0	0	0	0	0	0	0	0	0	0	0
NCS2 family permeaseFUNC_PR38505	60	25	0	4	9	106	2	0	0	31	2	30
NCS2 family permease, partialFUNC_PR38506	1	0	0	0	0	0	0	0	0	1	0	0
Ncs2pFUNC_PR38507	0	2	0	0	8	0	1	4	1	6	3	0
Ncs6FUNC_PR38508	0	0	0	1	0	0	1	1	0	1	0	0
NCS6-like proteinFUNC_PR38509	0	0	0	13	11	1	2	9	3	19	12	1
Ncs6pFUNC_PR38510	0	0	0	4	15	1	3	4	5	19	13	0
Ncw1pFUNC_PR38511	1	1	0	23	1	0	1	37	4	17	6	0
Ncw2pFUNC_PR38512	9	18	0	5	15	3	2	12	1	11	3	0
Ndc1FUNC_PR38513	4	0	0	0	2	0	0	1	0	2	4	0
Ndc1pFUNC_PR38514	14	5	0	19	36	4	4	13	11	34	23	0
Ndc80FUNC_PR38515	0	0	0	0	0	0	1	2	0	0	0	0
Ndd1pFUNC_PR38516	6	0	0	6	21	8	2	4	5	20	10	0
Nde1FUNC_PR38517	11	1	0	18	64	7	11	8	17	50	46	0
NDE1-like proteinFUNC_PR38518	0	0	0	0	0	0	2	0	0	1	2	0
Nde2FUNC_PR38519	0	0	0	0	6	1	0	3	1	11	0	0
NDE2-like proteinFUNC_PR38520	0	1	0	2	9	3	1	0	0	8	1	0
NdhB (chloroplast)FUNC_PR38521	0	6	0	0	0	0	0	0	0	0	0	0
Ndi1FUNC_PR38522	6	8	0	25	97	7	11	9	11	87	75	0
NDI1-like proteinFUNC_PR38523	0	0	0	1	1	0	2	1	1	2	4	0
Ndj1pFUNC_PR38524	0	0	0	0	2	0	0	0	1	2	0	0
Ndl1pFUNC_PR38525	0	0	0	12	13	1	1	6	11	27	4	2
NDMA-dependent alcohol dehydrogenaseFUNC_PR38526	5	3	0	0	0	3	0	0	0	0	0	3
NDMA-dependent methanol dehydrogenaseFUNC_PR38527	0	0	0	0	2	0	0	0	0	0	0	0
NDP-hexose 4-ketoreductaseFUNC_PR38528	1	6	0	0	6	24	1	0	0	2	0	0
NDP-hexose 4-ketoreductase, partialFUNC_PR38529	1	0	0	0	2	4	1	0	0	0	0	0
NDP-sugar synthaseFUNC_PR38530	0	0	0	0	1	3	0	0	0	0	0	0
NDR1/HIN1-like proteinFUNC_PR38531	4	0	0	0	1	0	0	0	0	0	0	0
NDR1/HIN1-like protein 1FUNC_PR38532	7	0	0	0	0	0	0	0	0	0	0	0
NDR1/HIN1-like protein 10FUNC_PR38533	2	0	0	0	0	0	0	0	0	0	0	0
NDR1/HIN1-like protein 13FUNC_PR38534	22	4	0	0	0	0	1	0	0	0	0	0
Ndt80FUNC_PR38535	0	0	0	0	0	0	0	0	0	0	1	0
NdvB proteinFUNC_PR38536	0	0	0	0	0	4	0	0	0	1	0	0
Necrosis and ethylene inducing peptide 1FUNC_PR38537	1	1	0	0	0	0	0	0	1	1	0	0
NEDD4 family E3 ubiquitin-protein ligaseFUNC_PR38538	0	0	0	10	13	1	4	6	3	16	5	0
NEDD4-like E3 ubiquitin-protein ligase WWP2FUNC_PR38539	0	0	0	0	0	0	0	0	0	2	0	0
NEDD8FUNC_PR38540	1	0	0	0	0	0	0	2	1	0	1	0
NEDD8 family protein RUB1FUNC_PR38541	0	0	0	7	13	0	0	5	13	38	17	0
NEDD8 ligase DCN1FUNC_PR38542	0	0	0	3	21	1	0	0	0	12	10	0
NEDD8-activating enzyme E1 catalytic subunit-like, partialFUNC_PR38543	0	0	0	0	3	0	0	0	0	0	0	0
nedd8-activating enzyme e1 regulatory subunitFUNC_PR38544	0	0	0	0	0	1	0	0	0	0	0	0
NEDD8-activating enzyme E1 regulatory subunitFUNC_PR38545	0	0	0	0	0	0	1	0	0	0	0	0
NEDD8-activating protein UBA3FUNC_PR38546	0	0	0	9	12	2	3	8	6	25	8	0
NEDD8-conjugating enzyme Ubc12FUNC_PR38547	2	0	0	0	0	0	0	0	0	1	1	0
NEDD8-conjugating enzyme UBC12FUNC_PR38548	1	0	0	0	0	0	0	1	0	1	0	0
NEDD8-conjugating enzyme Ubc12-likeFUNC_PR38549	0	0	0	0	0	0	0	0	1	0	0	0
NEDD8-conjugating protein UBC12FUNC_PR38550	0	0	0	1	0	0	0	1	2	5	0	0
NEDD8-specific protease 1FUNC_PR38551	3	0	0	0	0	0	0	0	0	0	0	0
Negative cofactor 2 complex subunit betaFUNC_PR38552	0	0	0	0	1	0	0	1	0	0	0	0
negative cofactor 2 transcription regulator complex subunit BUR6FUNC_PR38553	1	0	0	10	35	4	3	6	11	35	11	0
negative regulation of cAMP metabolic processFUNC_PR38554	2	0	0	1	4	18	0	0	0	0	0	0
negative regulator of differentiation 1FUNC_PR38555	0	0	0	0	1	3	0	0	0	0	0	0
Negative regulator of mitosisFUNC_PR38556	0	1	0	0	0	0	0	0	0	0	0	0
negative regulator of mitosis-likeFUNC_PR38557	0	0	0	0	0	0	1	1	0	0	0	0
negative regulator of the PHO systemFUNC_PR38558	0	0	0	0	0	0	0	0	0	0	1	0
negative regulator of the PHO system-likeFUNC_PR38559	0	0	0	0	0	1	0	1	0	0	0	0
negative transcriptional regulatorFUNC_PR38560	0	0	0	0	0	0	0	0	0	2	0	0
Nej1pFUNC_PR38561	0	0	0	0	0	0	0	0	0	1	0	0
NEK/NEK6 protein kinaseFUNC_PR38562	0	0	0	0	0	2	0	0	0	0	0	0
NEM1-like proteinFUNC_PR38563	0	0	0	0	1	0	0	0	0	0	0	0
Nem1-Spo7 phosphatase catalytic subunit NEM1FUNC_PR38564	0	0	0	10	17	2	4	6	10	36	13	0
Nem1-Spo7 phosphatase regulatory subunit SPO7FUNC_PR38565	0	0	0	2	2	0	0	0	3	4	0	0
nematode resistance protein-like HSPRO2FUNC_PR38566	1	2	0	0	0	0	0	0	0	0	0	0
Neo1FUNC_PR38567	1	2	0	2	16	4	0	1	1	6	9	0
NEO1-like proteinFUNC_PR38568	0	0	0	0	1	0	1	0	0	1	0	0
NeogeninFUNC_PR38569	1	0	0	0	0	0	0	0	0	0	0	0
Nep1-domain-containing proteinFUNC_PR38570	1	0	0	0	0	0	0	0	0	0	0	0
NEP1-interacting protein-like 2FUNC_PR38571	0	0	0	0	1	0	0	0	0	0	0	0
nepetalactol-related short-chain-dehydrogenase/reductase 1-likeFUNC_PR38572	1	0	0	0	0	0	0	0	0	0	0	0
nephrocystin-3-likeFUNC_PR38573	0	1	0	0	0	0	0	0	0	0	0	0
nephropathic cystinosisFUNC_PR38574	0	0	0	0	0	0	0	0	0	1	0	0
NERD nucleaseFUNC_PR38575	0	1	0	0	0	2	0	0	0	0	0	0
NERD nuclease, partialFUNC_PR38576	0	4	0	0	0	0	0	0	0	0	0	0
Net1FUNC_PR38577	0	0	0	1	1	0	2	0	1	4	3	0
NET1-associated nuclear protein 1 (U3 small nucleolar RNA-associated protein 17)FUNC_PR38578	8	0	0	0	0	11	0	0	0	0	0	0
NET1-like proteinFUNC_PR38579	2	3	0	2	3	0	0	4	1	4	1	0
Net1pFUNC_PR38580	12	3	0	18	43	0	7	17	9	46	29	1
neurabin-1-likeFUNC_PR38581	0	0	0	0	0	0	0	0	0	2	0	0
neuroendocrine convertase 1-likeFUNC_PR38582	0	0	0	0	0	0	0	0	0	1	0	0
neuroendocrine convertase 2-likeFUNC_PR38583	1	0	0	0	0	0	0	0	0	2	0	2
neurofilament medium polypeptide-likeFUNC_PR38584	0	0	0	0	1	0	0	0	0	0	0	0
neuropathy target esterase sws-likeFUNC_PR38585	0	0	0	0	0	0	0	0	0	4	0	0
neutral alpha-glucosidaseFUNC_PR38586	2	0	0	0	0	0	0	0	0	0	0	0
neutral alpha-glucosidase ABFUNC_PR38587	1	0	0	0	0	0	0	0	0	0	0	0
neutral ceramidase 2-likeFUNC_PR38588	3	3	0	0	0	0	1	0	0	0	0	0
neutral ceramidase-likeFUNC_PR38589	0	0	0	0	0	1	0	0	0	0	0	0
neutral ceramidase-like, partialFUNC_PR38590	2	0	0	0	0	0	0	0	0	0	0	0
neutral trehalaseFUNC_PR38591	0	0	0	0	0	0	1	0	0	0	0	0
neutral zinc metallopeptidaseFUNC_PR38592	4	0	2	0	5	2	0	2	1	0	0	0
neutral zinc metallopeptidase family proteinFUNC_PR38593	4	0	0	0	0	0	0	0	0	0	0	0
neutral zinc metallopeptidase, partialFUNC_PR38594	0	3	0	0	0	1	0	0	0	0	0	0
neutral/alkaline invertase 3, chloroplastic-likeFUNC_PR38595	3	0	0	0	0	0	0	0	0	0	0	0
neutral/alkaline non-lysosomal ceramidase N-terminal domain-containing proteinFUNC_PR38596	0	0	0	0	0	0	0	0	0	1	0	0
neutral/alkaline nonlysosomal ceramidase-like proteinFUNC_PR38597	0	1	0	0	0	0	0	0	0	0	0	0
Neutrophil cytosol factor 2FUNC_PR38598	0	0	0	0	0	0	0	1	0	0	0	0
New1FUNC_PR38599	2	0	0	5	12	0	3	13	5	17	1	0
NEW1-like proteinFUNC_PR38600	2	0	0	3	1	0	0	2	3	0	0	0
New1pFUNC_PR38601	40	4	0	15	20	3	39	39	12	36	2	0
NEW3 domain-containing proteinFUNC_PR38602	0	0	0	0	1	0	0	0	0	0	0	1
NF-X1-type zinc finger protein NFXL1FUNC_PR38603	4	2	0	0	0	0	0	0	0	0	0	0
NF-X1-type zinc finger protein NFXL2 isoform X1FUNC_PR38604	0	1	0	0	0	0	0	0	0	0	0	0
NF-X1-type zinc finger protein NFXL2-likeFUNC_PR38605	0	0	0	0	0	0	0	0	0	1	0	0
NfeD family proteinFUNC_PR38606	0	0	0	0	1	7	0	0	0	1	0	0
Nfg1pFUNC_PR38607	0	0	0	1	0	0	0	0	0	1	1	0
Nfi1FUNC_PR38608	0	0	0	1	1	0	0	0	0	0	1	0
Nfrl, putativeFUNC_PR38609	1	0	0	0	0	0	0	0	0	0	0	0
Nfs1FUNC_PR38610	1	15	0	23	83	12	5	16	14	52	44	1
NFS1-like proteinFUNC_PR38611	0	3	0	8	19	1	2	5	2	18	26	0
Nft1FUNC_PR38612	0	0	0	1	0	0	0	0	0	1	1	0
Nfu1FUNC_PR38613	0	0	0	2	4	1	0	0	0	2	2	0
NFU1 iron-sulfur cluster scaffold protein, mitochondrialFUNC_PR38614	0	3	0	0	3	1	0	0	0	0	0	0
Nfu1pFUNC_PR38615	2	0	0	5	9	1	2	0	2	5	0	0
NFX1-type zinc finger-containing protein 1FUNC_PR38616	0	0	0	0	0	0	0	0	0	1	0	0
NFYB/HAP3 family transcription factor subunitFUNC_PR38617	8	0	0	0	0	8	0	0	0	0	0	0
Ngg1FUNC_PR38618	0	0	0	0	4	0	0	0	0	5	0	0
NGG1 interacting factorFUNC_PR38619	1	0	0	0	0	0	0	0	0	0	0	0
NGG1p interacting factor 3 protein, NIF3FUNC_PR38620	0	0	0	0	0	3	0	0	0	0	0	0
NGG1p interacting factor NIF3FUNC_PR38621	0	0	0	0	0	0	0	0	0	1	0	0
Ngl1FUNC_PR38622	0	0	0	2	2	0	1	1	0	6	3	0
NGL1-like proteinFUNC_PR38623	0	0	0	0	0	0	0	0	0	0	1	0
Ngl2FUNC_PR38624	0	0	0	0	0	0	0	2	1	1	1	0
NGL2-like proteinFUNC_PR38625	0	0	0	0	0	0	0	0	0	1	0	0
NgoFVII family restriction endonucleaseFUNC_PR38626	0	0	0	0	0	1	1	0	0	0	0	1
NgoFVII family restriction endonuclease, partialFUNC_PR38627	0	0	1	0	0	0	0	0	0	0	0	0
Ngr1FUNC_PR38628	0	0	0	4	8	0	4	2	1	4	8	0
NGR1-like proteinFUNC_PR38629	0	0	0	1	4	0	0	0	1	1	2	0
Ngr1pFUNC_PR38630	10	4	0	12	46	16	5	11	14	21	27	1
Nha1FUNC_PR38631	1	1	0	4	10	1	1	1	4	8	2	1
NHA1-like proteinFUNC_PR38632	0	0	0	0	1	0	1	0	0	0	3	0
Nha1pFUNC_PR38633	1	0	0	6	14	4	10	15	7	34	7	0
NHLP family bacteriocin export ABC transporter peptidase/permease/ATPase subunitFUNC_PR38634	0	0	0	0	0	0	0	0	0	1	0	0
NHP10-like proteinFUNC_PR38635	0	0	0	1	0	0	0	6	1	2	0	0
Nhp10pFUNC_PR38636	0	0	0	1	2	0	0	4	1	5	1	0
Nhp2FUNC_PR38637	0	0	0	1	0	0	0	0	0	0	0	0
Nhp2 non-histone chromosome protein 2-like 1FUNC_PR38638	0	0	0	0	0	0	0	0	0	1	0	0
NHP2-like proteinFUNC_PR38639	14	1	0	5	3	1	3	7	4	6	4	0
NHP2-like protein 1FUNC_PR38640	0	0	0	0	2	0	0	0	0	0	0	0
NHP2-like protein 1 isoform X2FUNC_PR38641	0	2	0	0	0	0	0	0	0	0	0	0
NHP2/L7aE family proteinFUNC_PR38642	0	0	0	0	0	0	0	1	0	0	0	0
Nhp6aFUNC_PR38643	0	0	0	1	0	0	0	1	0	1	0	0
NHP6A-like proteinFUNC_PR38644	37	3	0	23	16	0	2	2	3	28	10	0
Nhpms2 complexed with AdpFUNC_PR38645	0	0	0	0	0	0	0	0	0	1	0	0
Nhx1FUNC_PR38646	11	1	0	16	28	2	1	1	8	20	16	1
NHX1-like proteinFUNC_PR38647	0	0	0	2	0	0	1	0	1	3	1	0
Ni/Fe hydrogenaseFUNC_PR38648	0	2	0	0	0	0	0	0	0	0	0	0
Ni/Fe hydrogenase subunit alphaFUNC_PR38649	4	5	0	0	0	4	0	0	0	0	0	0
Ni/Fe-hydrogenase cytochrome b subunitFUNC_PR38650	0	0	0	0	0	16	0	0	0	1	0	0
Ni/Fe-hydrogenase, b-type cytochrome subunitFUNC_PR38651	0	4	0	0	0	0	0	0	0	0	0	0
NIC-domain-containing proteinFUNC_PR38652	0	0	0	0	0	0	0	0	1	0	0	0
Nic96FUNC_PR38653	0	2	0	1	3	0	4	4	0	13	1	0
NIC96-like proteinFUNC_PR38654	0	0	0	0	0	0	1	0	0	0	0	0
nicalin-1FUNC_PR38655	8	1	0	0	0	0	0	0	0	0	0	0
nicalin-1-likeFUNC_PR38656	0	0	0	0	0	0	0	0	0	1	0	0
nicastrinFUNC_PR38657	1	5	0	0	0	0	0	0	0	0	0	0
nickaseFUNC_PR38658	2	0	0	0	0	9	0	0	0	0	0	0
nickase, partialFUNC_PR38659	0	1	0	0	1	2	0	0	0	1	0	0
nickel ABC transporter substrate-binding proteinFUNC_PR38660	0	0	0	0	0	0	0	0	0	1	0	0
nickel import ATP-binding protein NikEFUNC_PR38661	0	0	0	0	0	1	0	0	0	2	0	0
nickel pincer cofactor biosynthesis protein LarBFUNC_PR38662	0	0	0	0	0	0	0	0	0	0	1	0
nickel resistance protein NreAFUNC_PR38663	0	0	0	0	0	2	0	0	0	0	0	0
nickel transporterFUNC_PR38664	0	3	0	0	0	5	0	0	0	1	0	0
nickel-dependent hydrogenase large subunitFUNC_PR38665	0	6	0	0	0	2	1	0	0	0	0	1
nickel/cobalt efflux protein RcnAFUNC_PR38666	1	0	0	0	0	10	0	0	0	0	0	0
nicotinamidaseFUNC_PR38667	18	13	0	186	292	37	41	147	122	594	267	5
nicotinamidase 1FUNC_PR38668	0	0	0	0	0	0	0	0	0	1	0	0
nicotinamidase, partialFUNC_PR38669	0	4	0	0	0	0	0	0	0	0	0	0
nicotinamide adenine dinucleotide transporter 1, chloroplastic isoform X2FUNC_PR38670	5	0	0	0	0	0	0	0	0	0	0	0
nicotinamide mononucleotide transporterFUNC_PR38671	2	0	0	0	0	7	0	0	0	0	0	0
nicotinamide mononucleotide transporter PnuCFUNC_PR38672	0	0	0	0	0	3	0	0	0	2	0	0
nicotinamide N-methyltransferaseFUNC_PR38673	0	0	0	0	0	6	0	0	0	0	0	0
Nicotinamide riboside kinaseFUNC_PR38674	1	0	0	0	0	0	0	0	0	0	0	0
nicotinamide riboside transporterFUNC_PR38675	21	23	0	11	16	15	2	2	6	15	9	0
nicotinamide riboside transporter PnuCFUNC_PR38676	9	1	0	0	1	13	0	0	0	3	0	1
nicotinamide-nucleotide adenylyltransferaseFUNC_PR38677	2	3	0	6	3	4	0	1	2	14	3	3
nicotinamide-nucleotide adenylyltransferase NMA1FUNC_PR38678	0	6	0	1	6	0	0	1	1	4	6	0
nicotinamide-nucleotide adenylyltransferase NMA2FUNC_PR38679	0	0	0	3	4	0	0	2	4	6	2	0
nicotinamide/nicotinic acid mononucleotide adenylyltransferaseFUNC_PR38680	0	0	0	0	0	0	0	0	0	1	0	0
Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1FUNC_PR38681	1	0	0	0	0	0	0	1	0	8	2	0
nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2-likeFUNC_PR38682	1	0	0	0	0	0	0	1	0	0	0	0
nicotinate (nicotinamide) nucleotide adenylyltransferaseFUNC_PR38683	0	0	0	0	0	1	0	0	0	0	0	0
nicotinate phosphoribosyltransferaseFUNC_PR38684	74	73	3	11	33	142	12	17	7	45	9	37
Nicotinate phosphoribosyltransferaseFUNC_PR38685	0	0	0	1	0	1	0	0	0	0	0	0
nicotinate phosphoribosyltransferase 1FUNC_PR38686	0	0	0	0	0	0	0	0	0	1	0	0
nicotinate phosphoribosyltransferase 2-likeFUNC_PR38687	0	0	0	0	0	0	0	0	0	2	0	0
nicotinate phosphoribosyltransferase 2-like isoform X2FUNC_PR38688	1	0	0	0	0	0	0	0	0	0	0	0
nicotinate phosphoribosyltransferase, partialFUNC_PR38689	1	3	0	0	1	3	0	0	0	1	0	1
nicotinate-nicotinamide nucleotide adenylyltransferaseFUNC_PR38690	14	0	0	0	4	27	0	0	0	11	0	0
nicotinate-nucleotide adenylyltransferaseFUNC_PR38691	0	0	0	0	2	0	0	0	0	0	0	0
nicotinate-nucleotide diphosphorylaseFUNC_PR38692	0	0	0	0	2	0	0	0	0	0	0	0
nicotinate-nucleotide diphosphorylase (carboxylating)FUNC_PR38693	6	35	0	53	20	71	7	25	39	167	10	6
nicotinate-nucleotide pyrophosphorylaseFUNC_PR38694	0	4	0	3	1	8	1	3	0	3	1	4
Nicotinate-nucleotide pyrophosphorylaseFUNC_PR38695	1	0	0	0	1	0	0	0	0	0	0	0
nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferaseFUNC_PR38696	52	49	0	5	20	105	1	1	0	18	1	44
nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase, partialFUNC_PR38697	0	0	0	0	0	1	0	0	0	1	0	1
nicotinic acid mononucleotide adenylyltransferaseFUNC_PR38698	0	0	0	0	2	7	1	0	0	3	0	2
nicotinic acid mononucleotide adenylyltransferase, partialFUNC_PR38699	10	8	0	0	3	1	0	0	0	5	1	7
NIF-domain-containing proteinFUNC_PR38700	0	0	0	0	0	0	0	0	0	1	0	0
NIF-domain-containing protein, partialFUNC_PR38701	0	0	0	0	0	0	0	0	0	1	0	0
nif-specific transcriptional activator NifAFUNC_PR38702	0	0	0	0	0	4	0	0	0	0	0	0
Nif3-like dinuclear metal center hexameric proteinFUNC_PR38703	36	31	0	1	17	87	2	0	0	16	1	6
Nif3-like dinuclear metal center hexameric protein, partialFUNC_PR38704	0	0	0	0	0	6	0	0	0	0	0	0
NIF3-like proteinFUNC_PR38705	0	0	0	0	1	0	0	0	0	0	0	0
NIF3-like protein, partialFUNC_PR38706	2	0	0	0	0	0	0	0	0	0	0	0
NifB/NifX family molybdenum-iron cluster-binding proteinFUNC_PR38707	0	0	0	0	0	1	0	0	0	0	0	0
NifU family proteinFUNC_PR38708	14	6	0	0	7	20	0	0	0	6	1	0
NifU family protein, partialFUNC_PR38709	0	0	0	0	0	0	0	0	0	1	0	1
NifU-like proteinFUNC_PR38710	1	0	0	0	0	3	1	0	0	0	0	0
nifU-like protein 1, chloroplasticFUNC_PR38711	0	1	0	0	0	0	0	0	0	0	0	0
nifU-like protein 2, chloroplasticFUNC_PR38712	1	0	0	0	0	0	0	0	0	0	0	0
nifU-like protein 4, mitochondrialFUNC_PR38713	1	0	0	1	0	0	0	0	0	0	0	0
NINE proteinFUNC_PR38714	1	0	0	0	0	3	0	0	0	1	0	0
nineteen complex-related protein 2-domain-containing proteinFUNC_PR38715	0	0	0	0	0	1	0	0	0	0	0	0
NinG family proteinFUNC_PR38716	0	0	0	0	1	0	0	0	0	0	0	0
ninja-family protein AFP1-like isoform X4FUNC_PR38717	0	0	0	0	0	0	0	1	0	0	0	0
ninja-family protein AFP2-like isoform X1FUNC_PR38718	1	0	0	0	0	0	0	0	0	0	0	0
Nip1FUNC_PR38719	11	0	0	4	2	1	4	3	2	6	4	0
NIP1-like proteinFUNC_PR38720	1	0	0	0	0	0	1	2	0	3	1	0
Nip100pFUNC_PR38721	0	3	0	0	10	0	0	4	2	11	15	0
Nip7FUNC_PR38722	2	0	0	3	2	0	1	6	1	12	2	0
NIP7-like proteinFUNC_PR38723	2	0	0	0	0	1	1	0	1	0	0	0
NIPSNAP family containing proteinFUNC_PR38724	0	1	0	0	0	0	0	0	0	0	0	0
NIPSNAP family proteinFUNC_PR38725	1	9	0	1	0	0	0	0	0	0	0	0
NIPSNAP-domain-containing proteinFUNC_PR38726	0	0	0	1	0	0	1	0	0	0	0	0
Nis1pFUNC_PR38727	3	0	0	10	159	37	1	10	6	33	114	4
Nit1FUNC_PR38728	0	0	0	0	4	0	0	1	3	9	2	0
Nit1pFUNC_PR38729	1	0	0	6	23	1	0	2	6	33	10	0
NIT2-like proteinFUNC_PR38730	0	0	0	0	0	0	0	1	0	0	0	0
Nit3FUNC_PR38731	2	9	0	16	9	0	8	15	12	18	8	1
NIT3-like proteinFUNC_PR38732	1	0	0	2	0	0	0	0	2	1	2	0
nitrate ABC transporter ATP-binding proteinFUNC_PR38733	7	19	0	3	0	15	3	4	2	9	0	0
nitrate ABC transporter ATPaseFUNC_PR38734	0	0	0	0	0	18	0	0	0	0	0	0
nitrate ABC transporter ATPase, partialFUNC_PR38735	0	0	0	0	0	1	0	0	0	0	0	0
nitrate ABC transporter permeaseFUNC_PR38736	2	6	0	0	0	1	0	0	0	0	0	0
nitrate ABC transporter substrate-binding proteinFUNC_PR38737	3	19	0	3	2	14	2	2	0	15	0	5
nitrate ABC transporter, permease proteinFUNC_PR38738	3	11	0	6	4	31	3	3	2	5	3	13
nitrate reductaseFUNC_PR38739	55	34	6	14	47	123	7	16	8	52	6	43
nitrate reductase catalytic subunitFUNC_PR38740	0	0	0	0	0	1	0	0	0	0	0	0
nitrate reductase catalytic subunit, partialFUNC_PR38741	0	0	0	0	0	0	0	0	0	1	0	1
nitrate reductase molybdenum cofactor assembly chaperoneFUNC_PR38742	18	2	0	1	4	14	1	0	0	8	1	6
nitrate reductase molybdenum cofactor assembly chaperone, partialFUNC_PR38743	3	0	0	0	0	0	0	0	0	0	0	0
nitrate reductase subunit alphaFUNC_PR38744	58	19	1	3	37	198	4	0	1	34	5	23
nitrate reductase subunit alpha, partialFUNC_PR38745	20	44	0	2	24	49	0	0	0	25	2	32
nitrate reductase subunit betaFUNC_PR38746	24	32	0	1	20	115	1	0	0	17	3	15
nitrate reductase subunit beta, partialFUNC_PR38747	3	0	0	0	1	3	0	1	0	1	2	0
nitrate reductase subunit gammaFUNC_PR38748	5	10	0	0	1	3	0	0	0	6	0	0
nitrate reductase Z subunit alphaFUNC_PR38749	10	13	0	1	6	8	0	0	0	5	0	0
nitrate reductase, partialFUNC_PR38750	5	4	0	3	3	4	3	1	1	6	2	1
nitrate regulatory gene2 proteinFUNC_PR38751	2	0	0	0	0	0	0	0	0	0	0	0
nitrate regulatory gene2 protein-likeFUNC_PR38752	2	2	0	0	0	0	0	0	0	0	0	0
nitrate transporterFUNC_PR38753	4	6	1	11	8	32	17	11	5	9	2	17
nitrate transporter-like proteinFUNC_PR38754	0	0	0	0	0	0	0	0	0	0	0	1
nitrate-binding protein nrtA periplasmicFUNC_PR38755	1	0	0	0	0	0	0	0	0	0	0	0
nitrate/nitrite transporterFUNC_PR38756	0	0	0	0	0	1	0	0	0	0	0	0
nitrate/nitrite two-component system sensor histidine kinaseFUNC_PR38757	2	0	0	0	0	1	0	0	0	1	0	0
