	control.B01	control.B02	control.B03	control.B04	control.B05	control.B06	experimental.B07	experimental.B08	experimental.B09	experimental.B10	experimental.B11	experimental.B12
1,3-beta-glucanosyltransferaseFUNC_PR87	21	33	0	154	200	55	22	54	52	274	120	2
1,3-beta-glucanosyltransferase gas1FUNC_PR88	0	0	0	0	0	0	0	0	1	0	0	0
1,3-beta-glucanosyltransferase GAS1FUNC_PR89	153	43	0	35	29	16	27	32	27	53	13	2
1,3-beta-glucanosyltransferase gel1FUNC_PR90	1	2	0	0	1	0	0	0	0	1	0	0
1,3-beta-glucanosyltransferase gel1 precursorFUNC_PR91	0	0	0	0	0	0	0	1	0	0	0	0
1,3-beta-glucanosyltransferase gel2FUNC_PR92	0	1	0	0	0	0	0	0	0	0	0	0
1,3-beta-glucanosyltransferase gel3FUNC_PR93	0	0	0	0	0	0	0	1	0	0	1	0
1,3-beta-glucanosyltransferase gel4FUNC_PR94	0	0	0	0	0	0	0	0	0	0	1	0
1,3-beta-glucanosyltransferase, putativeFUNC_PR95	0	0	0	1	0	0	0	0	0	0	0	0
1,3,6,8-tetra-HN reductaseFUNC_PR96	0	0	0	1	1	2	3	3	0	4	0	1
1,4-alpha-glucan branching enzymeFUNC_PR97	46	26	0	49	130	199	7	28	37	122	41	20
1,4-alpha-glucan branching enzyme, partialFUNC_PR98	0	0	0	0	0	4	0	0	0	0	0	0
1,4-alpha-glucan branching proteinFUNC_PR99	4	0	0	0	3	31	0	0	0	0	0	0
1,4-alpha-glucan-branching enzymeFUNC_PR100	0	0	0	0	0	0	0	0	0	0	0	2
1,4-alpha-glucan-branching enzyme 1, chloroplastic/amyloplastic isoform X2FUNC_PR101	0	0	0	0	0	0	0	0	0	0	1	0
1,4-alpha-glucan-branching enzyme 1, chloroplastic/amyloplastic-like, partialFUNC_PR102	0	1	0	0	0	0	0	0	0	0	0	0
1,4-alpha-glucan-branching enzyme-like, partialFUNC_PR103	0	0	0	0	0	0	1	0	0	0	0	0
