	control.B1	control.B2	experimental.B7	experimental.B8
probable E3 ubiquitin-protein ligase RHC2AFUNC-31342	2	2	0	1
probable E3 ubiquitin-protein ligase RHG1AFUNC-31343	4	0	0	0
probable E3 ubiquitin-protein ligase RHY1AFUNC-31344	6	1	0	0
probable E3 ubiquitin-protein ligase RZFP34FUNC-31345	3	0	1	0
probable E3 ubiquitin-protein ligase XBOS32 isoform X1FUNC-31346	3	0	0	0
probable E3 ubiquitin-protein ligase XBOS32 isoform X2FUNC-31347	0	1	0	0
probable E3 ubiquitin-protein ligase XERICOFUNC-31348	1	0	0	0
probable E3 ubiquitin-protein ligase ZFP1FUNC-31349	1	0	0	0
probable elongation factor 3FUNC-31350	0	0	0	1
probable endo-1,3(4)-beta-glucanase ARB_01444FUNC-31351	2	0	0	0
probable endosomal integral membrane protein (P24a)FUNC-31352	0	0	0	1
probable ERV25 protein (component of the COPII-coated vesicles)FUNC-31353	0	1	0	1
probable esterase DFUNC-31354	0	0	1	2
probable esterase KAI2FUNC-31355	1	0	0	0
probable ethanolamine kinase isoform X1FUNC-31356	1	0	0	0
probable eukaryotic translation initiation factor 1AFUNC-31357	1	0	0	0
probable Eukaryotic translation initiation factor 3 subunit AFUNC-31358	0	2	0	1
probable Eukaryotic translation initiation factor 3 subunit DFUNC-31359	0	0	1	0
probable excision repair protein rhp3FUNC-31360	1	0	0	0
probable exonuclease V, mitochondrialFUNC-31361	0	0	1	0
probable extracellular serine carboxypeptidaseFUNC-31362	1	0	0	2
probable F1Fo-ATP synthase subunit 7, mitochondrialFUNC-31363	0	0	0	2
probable fatty acid synthase, alpha subunitFUNC-31364	0	0	2	0
probable fatty aldehyde dehydrogenaseFUNC-31365	0	0	1	1
probable FBA1-fructose-bisphosphate aldolaseFUNC-31366	1	0	0	1
probable FBP1-fructose-1,6-bisphosphataseFUNC-31367	0	1	0	2
probable Fe-containing alcohol dehydrogenaseFUNC-31368	0	0	0	1
probable feruloyl esterase B-2FUNC-31369	5	6	5	13
probable FGF receptor activating protein 1FUNC-31370	0	1	1	1
probable folate-biopterin transporter 3FUNC-31371	2	5	0	0
probable folate-biopterin transporter 7FUNC-31372	40	45	0	0
Probable formate dehydrogenaseFUNC-31373	1	0	0	0
probable G protein alpha subunit GNA-3FUNC-31374	0	0	0	1
probable galactinol--sucrose galactosyltransferase 2FUNC-31375	102	74	0	0
probable galactinol--sucrose galactosyltransferase 2 isoform X1FUNC-31376	4	0	0	0
probable galactinol--sucrose galactosyltransferase 6FUNC-31377	0	1	0	0
probable galactinol--sucrose galactosyltransferase 6 isoform X1FUNC-31378	5	1	0	0
probable galactinol--sucrose galactosyltransferase 6 isoform X2FUNC-31379	3	0	0	0
probable galacturonosyltransferase 13 isoform X2FUNC-31380	1	0	0	0
probable galacturonosyltransferase 13 isoform X3FUNC-31381	1	0	0	0
probable galacturonosyltransferase 13, partialFUNC-31382	1	0	0	0
probable galacturonosyltransferase 14 isoform X2FUNC-31383	3	0	0	0
probable galacturonosyltransferase 14 isoform X3FUNC-31384	2	0	0	0
probable galacturonosyltransferase 15 isoform X6FUNC-31385	4	0	0	0
probable galacturonosyltransferase 3FUNC-31386	0	0	0	1
probable galacturonosyltransferase 9FUNC-31387	3	0	0	0
probable galacturonosyltransferase-like 1FUNC-31388	1	0	0	0
probable galacturonosyltransferase-like 9FUNC-31389	16	4	1	0
probable gamma-secretase subunit PEN-2FUNC-31390	8	0	0	0
probable GARP complex subunit Vps53FUNC-31391	0	0	0	1
probable GEL1 proteinFUNC-31392	0	0	2	2
probable glucan 1,3-alpha-glucosidaseFUNC-31393	5	0	0	0
probable glucan 1,3-alpha-glucosidase isoform X1FUNC-31394	8	8	0	0
probable glucan 1,3-beta-glucosidase AFUNC-31395	2	0	0	0
probable glucan endo-1,3-beta-glucosidase eglCFUNC-31396	0	2	0	0
probable glucose transporter rco-3FUNC-31397	0	0	1	0
probable glucose-6-phosphate 1-dehydrogenaseFUNC-31398	0	0	1	0
probable Glucose-6-phosphate isomeraseFUNC-31399	0	1	0	0
probable glucuronoxylan glucuronosyltransferase IRX7FUNC-31400	1	0	0	0
probable glutamate decarboxylaseFUNC-31401	0	0	0	3
probable glutamate--tRNA ligase, cytoplasmicFUNC-31402	1	0	1	0
probable glutamine synthetaseFUNC-31403	0	1	0	0
probable glutamyl endopeptidase, chloroplastic isoform X1FUNC-31404	0	1	0	0
probable glutaredoxin Grx1FUNC-31405	0	1	0	1
probable glutathione peroxidaseFUNC-31406	0	2	3	3
probable glutathione peroxidase 5FUNC-31407	4	0	0	0
probable glutathione reductaseFUNC-31408	0	2	0	3
probable glutathione S-transferaseFUNC-31409	1	0	0	1
probable glutathione S-transferase isoform X1FUNC-31410	1	0	0	0
probable glycerol-3-phosphate dehydrogenaseFUNC-31411	1	0	0	0
probable glycogen debranching enzymeFUNC-31412	0	0	0	1
probable glycogen phosphorylaseFUNC-31413	0	0	1	1
probable glycogen synthaseFUNC-31414	0	1	0	0
probable glycogen synthase kinase 3 alphaFUNC-31415	2	0	0	0
probable glycolate oxidaseFUNC-31416	1	0	1	1
probable glycosidase crf2FUNC-31417	0	0	0	2
probable Golgi apparatus membrane protein TVP18FUNC-31418	1	0	1	0
probable GPI ethanolamine phosphate transferase 1FUNC-31419	0	1	0	0
probable GRD19 protein, involved in retrieval of late Golgi membrane proteins from the prevacuolar compartmentFUNC-31420	0	1	0	0
probable GTP diphosphokinase RSH2, chloroplastic isoform X1FUNC-31421	0	1	0	0
probable GTP diphosphokinase RSH3, chloroplasticFUNC-31422	2	0	0	0
probable GTP-binding protein 1; G-protein 1FUNC-31423	0	0	0	1
probable GTP-binding protein SAR1FUNC-31424	1	0	0	0
probable GTP-binding protein YchFFUNC-31425	0	0	0	1
probable H+-ATPase V1 subunit c, vacuolarFUNC-31426	0	1	0	3
probable H+-transporting ATP synthaseFUNC-31427	2	2	0	0
probable H+-transporting ATP synthase beta chainFUNC-31428	0	0	2	0
probable Heat shock protein 90 homologFUNC-31429	1	0	1	0
probable heat shock protein Hsp88FUNC-31430	0	1	0	2
probable heat shock protein ssa1FUNC-31431	10	0	0	0
probable heat shock protein SSBFUNC-31432	0	0	1	1
probable heat shock protein, mitochondrial precursorFUNC-31433	2	0	2	0
probable helicase MAGATAMA 3FUNC-31434	2	0	0	0
probable histidine biosynthesis trifunctional proteinFUNC-31435	0	0	1	0
probable histone H2A variant 2, partialFUNC-31436	2	0	0	0
probable histone H2A variant 3FUNC-31437	6	0	0	0
probable Histone H2A-alphaFUNC-31438	1	0	2	0
probable histone H2A.1 isoform X2FUNC-31439	1	0	0	0
probable histone H2A.2FUNC-31440	6	0	0	0
probable histone H2A.3FUNC-31441	8	3	0	0
probable histone H2A.5FUNC-31442	1	0	0	0
probable histone H2AXb, partialFUNC-31443	3	1	0	0
probable histone H2B.1FUNC-31444	2	0	0	0
probable histone H2B.1 isoform X3FUNC-31445	1	0	0	0
probable histone-arginine methyltransferase 1.3FUNC-31446	1	0	0	0
probable homoserine O-acetyltransferaseFUNC-31447	0	1	0	0
probable hydroxyacylglutathione hydrolase 2, chloroplasticFUNC-31448	1	0	0	0
probable hydroxyacylglutathione hydrolase 2, chloroplastic isoform X2FUNC-31449	0	0	0	1
probable hydroxyethylthiazole kinaseFUNC-31450	1	0	0	0
probable inactive ATP-dependent zinc metalloprotease FTSHI 1, chloroplastic isoform X2FUNC-31451	1	0	0	0
probable inactive polyFUNC-31452	3	0	0	1
probable inactive purple acid phosphatase 2FUNC-31453	2	2	0	0
probable inactive purple acid phosphatase 29FUNC-31454	1	0	0	0
probable inactive receptor kinase At1g48480FUNC-31455	3	2	0	0
probable inactive receptor kinase At4g23740 isoform X1FUNC-31456	1	0	0	0
probable inactive serine/threonine-protein kinase scy1 isoform X1FUNC-31457	1	0	0	0
probable inactive serine/threonine-protein kinase scy1 isoform X2FUNC-31458	0	1	0	0
probable inactive serine/threonine-protein kinase scy1, partialFUNC-31459	1	0	0	0
probable indole-3-acetic acid-amido synthetase GH3.1FUNC-31460	1	0	0	0
probable inositol transporter 2FUNC-31461	4	0	0	0
probable iron inhibited ABC transporter 2FUNC-31462	0	0	0	1
probable isocitrate dehydrogenaseFUNC-31463	0	0	0	1
probable isoleucyl-tRNA synthetase, cytoplasmicFUNC-31464	0	0	0	1
probable JLP2 DnaJ-Like Protein 2FUNC-31465	0	0	1	0
probable L-ascorbate peroxidase 6, chloroplastic/mitochondrial isoform X3FUNC-31466	3	2	1	0
probable L-cysteine desulfhydrase, chloroplasticFUNC-31467	2	0	0	0
probable L-lactate dehydrogenase (cytochrome)FUNC-31468	0	0	1	2
probable lactoylglutathione lyase, chloroplasticFUNC-31469	1	5	0	0
probable LCB2-serine C-palmitoyltransferase subunitFUNC-31470	1	0	0	0
probable leucine-rich repeat receptor-like protein kinase At1g68400FUNC-31471	1	3	0	0
probable leucine-rich repeat receptor-like protein kinase At5g49770 isoform X1FUNC-31472	1	0	0	0
probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840FUNC-31473	0	0	0	1
probable Leucyl-tRNA synthetaseFUNC-31474	0	0	1	1
probable Leukotriene A-4 hydrolase homologFUNC-31475	0	0	0	1
probable leupeptin-inactivating enzyme 1 precursorFUNC-31476	0	1	0	0
probable linoleate 9S-lipoxygenase 5FUNC-31477	1	0	0	0
probable lipase C16A3.12cFUNC-31478	1	0	0	0
probable lipid phosphate phosphatase beta isoform X3FUNC-31479	1	1	0	0
probable long-chain-alcohol O-fatty-acyltransferase 5FUNC-31480	9	0	0	0
probable long-chain-fatty-acid-CoA ligaseFUNC-31481	1	0	0	1
probable LRR receptor-like serine/threonine-protein kinase At1g74360FUNC-31482	4	0	0	0
probable LRR receptor-like serine/threonine-protein kinase At3g47570FUNC-31483	0	3	0	0
probable LRR receptor-like serine/threonine-protein kinase At4g30520FUNC-31484	2	0	0	0
probable LRR receptor-like serine/threonine-protein kinase At4g36180FUNC-31485	0	1	0	0
probable Lysophospholipase NTE1FUNC-31486	0	0	1	0
probable lysosomal cobalamin transporterFUNC-31487	1	2	2	0
probable lysyl-tRNA synthetase (class II)FUNC-31488	1	0	0	0
probable magnesium transporter NIPA3 isoform X2FUNC-31489	0	1	0	0
probable magnesium transporter NIPA6 isoform X1FUNC-31490	2	0	0	0
probable malate dehydrogenase, NAD-dependentFUNC-31491	3	1	4	3
probable manganese-transporting ATPase PDR2FUNC-31492	5	0	0	1
probable mannitol dehydrogenaseFUNC-31493	2	0	0	0
probable mannitol dehydrogenase isoform X1FUNC-31494	1	0	0	0
probable mannitol dehydrogenase isoform X2FUNC-31495	8	2	0	0
probable mediator of RNA polymerase II transcription subunit 36bFUNC-31496	5	0	0	0
probable mediator of RNA polymerase II transcription subunit 37c, partialFUNC-31497	3	0	0	0
probable membrane-associated kinase regulator 1FUNC-31498	2	3	0	0
probable Metacaspase-1AFUNC-31499	0	0	1	0
probable metal homeostasis protein bsd1FUNC-31500	0	0	0	1
probable metal-nicotianamine transporter YSL5FUNC-31501	1	0	0	0
probable metal-nicotianamine transporter YSL6FUNC-31502	1	1	0	0
probable methionine--tRNA ligaseFUNC-31503	2	0	0	0
probable methylcrotonoyl-CoA carboxylase beta chain, mitochondrialFUNC-31504	0	0	1	0
probable methylmalonate-semialdehyde dehydrogenase, mitochondrial precursorFUNC-31505	0	0	1	0
probable Methylthioribulose-1-phosphate dehydrataseFUNC-31506	1	0	0	1
probable methyltransferase At1g27930FUNC-31507	10	0	0	0
probable methyltransferase PMT10FUNC-31508	1	0	0	0
probable methyltransferase PMT13FUNC-31509	3	0	0	0
probable methyltransferase PMT15FUNC-31510	6	4	0	0
probable methyltransferase PMT2FUNC-31511	4	0	0	0
probable methyltransferase PMT20FUNC-31512	4	0	0	1
probable methyltransferase PMT21FUNC-31513	19	3	0	0
probable methyltransferase PMT24FUNC-31514	1	0	0	0
probable methyltransferase PMT9FUNC-31515	1	0	0	0
probable methyltransferase tdiEFUNC-31516	0	0	1	2
probable MFS monosaccharide transporterFUNC-31517	0	0	0	1
probable mfs-multidrug-resistance transporterFUNC-31518	0	0	1	0
probable Minor allergen Cla h 7FUNC-31519	0	0	1	1
probable mitochondrial phosphate transport protein MIR1FUNC-31520	0	1	1	0
probable mitochondrial processing peptidase beta subunitFUNC-31521	0	0	0	1
probable mitochondrial saccharopine dehydrogenase-like oxidoreductase At5g39410FUNC-31522	1	0	0	0
probable mitochondrial-processing peptidase subunit alphaFUNC-31523	0	0	1	0
probable mitochondrial-processing peptidase subunit beta, mitochondrialFUNC-31524	13	3	0	0
probable MOB1 proteinFUNC-31525	0	0	0	1
probable molecular co-chaperone STI1FUNC-31526	0	2	2	5
probable mRNA splicing factorFUNC-31527	0	0	0	1
probable myosin type II heavy chainFUNC-31528	1	0	0	0
probable Myosin-1FUNC-31529	0	0	1	0
probable N-acetylmuramidaseFUNC-31530	0	0	0	1
probable Na+/dicarboxylate, Na+/tricarboxylate and phosphate transportersFUNC-31531	0	0	0	1
probable NAD kinase 2, chloroplasticFUNC-31532	1	0	0	0
probable NADH dehydrogenaseFUNC-31533	2	0	0	2
probable NADH pyrophosphataseFUNC-31534	0	0	3	2
probable NADH-cytochrome b5 reductase 2FUNC-31535	0	0	2	0
probable NADH-ubiquinone oxidoreductase 14.8 kDa subunitFUNC-31536	1	0	0	0
probable nadh-ubiquinone oxidoreductase 21 kda subunitFUNC-31537	1	0	0	0
probable NADH-ubiquinone oxidoreductase 213 kDa subunitFUNC-31538	0	0	0	1
probable NADH-ubiquinone oxidoreductase subunit B17.2FUNC-31539	1	0	0	0
probable NADP-dependent alcohol dehydrogenaseFUNC-31540	0	1	0	0
probable NADP-dependent mannitol dehydrogenaseFUNC-31541	3	1	1	3
Probable NADP-dependent mannitol dehydrogenaseFUNC-31542	1	0	0	0
probable NADP/FAD dependent oxidoreductaseFUNC-31543	0	0	1	0
probable non-specific lipid-transfer protein AKCS9FUNC-31544	6	0	0	0
probable nonsense-mediated mRNA decay factor (Upf2)FUNC-31545	0	0	0	1
probable NOT transcription complex subunit VIP2 isoform X3FUNC-31546	0	0	0	1
probable nucleoredoxin 1FUNC-31547	0	8	0	0
probable nucleoredoxin 2FUNC-31548	0	0	0	1
probable oleate delta-12 desaturaseFUNC-31549	0	0	1	0
probable oligomycin sensitivity conferring protein (ATP5)FUNC-31550	0	0	0	1
probable oligosaccharyltransferase, STT3 subunitFUNC-31551	0	1	1	1
probable ornithine decarboxylaseFUNC-31552	0	1	0	1
probable oxoglutarate dehydrogenase precursorFUNC-31553	0	0	0	1
probable oxygen-dependent coproporphyrinogen-III oxidaseFUNC-31554	0	0	2	0
probable PaaI_thioesterase family proteinFUNC-31555	0	0	0	1
probable pathogenesis-related protein ARB_02861FUNC-31556	0	1	1	0
probable pectate lyase 4FUNC-31557	1	0	0	0
probable pectate lyase 5FUNC-31558	1	0	0	0
probable pectate lyase 8FUNC-31559	10	1	0	0
probable pectin methylesterase CGR2FUNC-31560	1	0	0	0
probable pectin methyltransferase QUA2FUNC-31561	5	0	1	0
probable pectinesterase/pectinesterase inhibitor 36FUNC-31562	3	0	0	0
probable pectinesterase/pectinesterase inhibitor 51FUNC-31563	1	0	0	2
probable peptide/nitrate transporter At3g43790 isoform X2FUNC-31564	1	0	0	0
probable Peptidyl-prolyl cis-trans isomerase-like 1FUNC-31565	0	0	0	1
probable peroxisomal targeting signal type 2 receptorFUNC-31566	0	0	0	1
probable PHO88 (involved in phosphate transport)FUNC-31567	0	1	0	2
probable phosphataseFUNC-31568	1	0	1	1
probable phosphatase SPAC513.02FUNC-31569	1	0	0	0
probable phosphate transport protein, mitochondrialFUNC-31570	1	0	0	0
probable Phosphatidylethanolamine N-methyltransferaseFUNC-31571	0	1	1	1
probable phosphoinositide phosphatase SAC9FUNC-31572	1	4	1	0
probable phosphoinositide phosphatase SAC9 isoform X1FUNC-31573	1	0	0	0
probable phosphoketolaseFUNC-31574	7	2	4	2
probable phospholipase A2 homolog 1FUNC-31575	3	0	0	0
probable phospholipid hydroperoxide glutathione peroxidaseFUNC-31576	17	0	0	0
probable phosphoprotein phosphatase (serine/threonine specific protein phosphatase)FUNC-31577	0	0	0	1
probable phosphoribosylformylglycinamidine synthaseFUNC-31578	1	0	0	0
probable pinoresinol-lariciresinol reductase 3 isoform X2FUNC-31579	3	0	0	0
probable plasma membrane ATPase 2FUNC-31580	2	6	3	8
probable plastid-lipid-associated protein 11, chloroplastic isoform X3FUNC-31581	5	0	0	0
probable plastid-lipid-associated protein 14, chloroplasticFUNC-31582	3	0	0	0
probable plastid-lipid-associated protein 14, chloroplastic isoform X3FUNC-31583	1	0	0	0
probable plastid-lipid-associated protein 4, chloroplastic isoform X2FUNC-31584	0	1	0	0
probable plastidic glucose transporter 2FUNC-31585	1	0	0	0
probable polyamine transporter At1g31830 isoform X2FUNC-31586	1	0	0	0
probable polyamine transporter At3g13620FUNC-31587	1	0	0	0
probable polygalacturonaseFUNC-31588	2	0	0	0
probable polyol transporter 4FUNC-31589	7	0	0	0
probable polyol transporter 4 isoform X2FUNC-31590	2	1	0	0
probable potassium transporter 11 isoform X1FUNC-31591	0	1	0	0
probable Pre-mRNA-splicing ATP-dependent RNA helicase prp28FUNC-31592	1	0	0	0
probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH2FUNC-31593	1	0	0	0
probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH2 isoform X5FUNC-31594	0	0	1	0
probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH5, partialFUNC-31595	1	0	0	0
probable prefoldin subunit 5FUNC-31596	1	0	0	0
probable prephenate dehydrogenaseFUNC-31597	0	0	1	0
probable Probable 1-aminocyclopropane-1-carboxylate deaminaseFUNC-31598	1	1	0	1
probable Probable D-xylulose reductase AFUNC-31599	0	0	0	1
probable Probable dipeptidyl-aminopeptidase BFUNC-31600	0	1	1	0
probable Probable E3 ubiquitin-protein ligase hulAFUNC-31601	1	0	0	1
probable Probable guanosine-diphosphataseFUNC-31602	0	0	0	1
probable prohibitinFUNC-31603	0	0	1	2
probable prolyl 4-hydroxylase 10FUNC-31604	3	0	0	0
probable prolyl 4-hydroxylase 12FUNC-31605	1	0	0	0
probable prolyl 4-hydroxylase 4FUNC-31606	1	0	0	0
probable prolyl 4-hydroxylase 6FUNC-31607	0	2	0	0
probable proteasome endopeptidase complex subunit PRE7FUNC-31608	1	0	0	0
probable proteasome inhibitorFUNC-31609	2	0	0	0
probable proteasome subunit alpha type-2FUNC-31610	2	0	1	0
probable proteasome subunit alpha type-3FUNC-31611	1	1	0	0
probable proteasome subunit beta type-4FUNC-31612	0	0	0	1
probable proteasome subunit beta type-9 precursorFUNC-31613	0	0	1	0
probable protein arg-6, mitochondrial precursorFUNC-31614	2	0	0	0
probable protein disulfide-isomerase A6FUNC-31615	4	0	0	0
probable protein disulfide-isomerase precursorFUNC-31616	2	0	1	0
probable protein GOT1FUNC-31617	1	0	0	0
probable protein involved in cell differentiation/sexual developmentFUNC-31618	0	0	1	0
probable protein kinase 1FUNC-31619	0	0	0	1
probable protein MMF1, mitochondrial precursorFUNC-31620	0	0	1	1
probable protein phosphatase 2C 10, partialFUNC-31621	1	0	0	0
probable protein phosphatase 2C 2FUNC-31622	1	0	0	0
probable protein phosphatase 2C 23FUNC-31623	2	0	0	0
probable protein phosphatase 2C 24FUNC-31624	3	0	0	0
probable protein phosphatase 2C 25FUNC-31625	1	0	0	0
probable protein phosphatase 2C 34FUNC-31626	0	0	1	0
probable protein phosphatase 2C 42FUNC-31627	0	3	0	0
probable protein phosphatase 2C 49 isoform X2FUNC-31628	3	0	0	0
probable protein phosphatase 2C 52FUNC-31629	1	0	0	0
probable protein phosphatase 2C 58FUNC-31630	1	0	0	2
probable protein phosphatase 2C 59FUNC-31631	1	0	0	0
probable protein phosphatase 2C 6 isoform X2FUNC-31632	0	0	0	1
probable protein phosphatase 2C 60 isoform X1FUNC-31633	2	0	0	0
probable protein phosphatase 2C 60 isoform X2FUNC-31634	1	1	0	0
probable protein phosphatase 2C 60 isoform X3FUNC-31635	0	3	0	0
probable protein phosphatase 2C 63FUNC-31636	2	0	0	2
probable protein phosphatase 2C 65 isoform X3FUNC-31637	4	0	0	0
probable protein phosphatase 2C 9FUNC-31638	4	0	0	0
probable protein phosphotase 2A A chainFUNC-31639	0	0	1	0
probable protein S-acyltransferase 12 isoform X2FUNC-31640	2	0	0	0
probable protein S-acyltransferase 14FUNC-31641	0	0	0	1
probable protein S-acyltransferase 15FUNC-31642	3	0	0	0
probable protein S-acyltransferase 19 isoform X1FUNC-31643	3	0	2	0
probable protein S-acyltransferase 19 isoform X2FUNC-31644	0	1	0	1
probable protein S-acyltransferase 7FUNC-31645	2	0	0	0
probable protein S-acyltransferase 7 isoform X2FUNC-31646	1	0	0	0
probable Protein SEY1FUNC-31647	1	0	0	0
probable Protein yop1FUNC-31648	2	0	1	0
probable PRX1-mitochondrial isoform of thioredoxin peroxidaseFUNC-31649	2	1	4	0
probable purine nucleoside phosphorylase I, inosine and guanosine-specificFUNC-31650	1	0	0	2
probable purine permease 11 isoform X2FUNC-31651	2	1	0	0
probable Putative DNA repair proteinFUNC-31652	0	1	0	0
probable putative serine/threonine protein kinaseFUNC-31653	0	0	1	0
probable pyridoxal 5'-phosphate synthase subunit PDX1FUNC-31654	2	0	0	2
probable pyridoxal 5'-phosphate synthase subunit PDX1, partialFUNC-31655	1	0	0	0
probable pyruvate dehydrogenase E1 component beta subunitFUNC-31656	0	1	0	0
probable pyruvate dehydrogenase protein X component, mitochondrialFUNC-31657	1	0	0	0
probable pyruvate kinaseFUNC-31658	0	0	0	2
probable quinone oxidoreductaseFUNC-31659	1	0	0	1
probable RAB GTPase Ypt5FUNC-31660	1	0	1	2
probable receptor-like protein kinase At1g11050FUNC-31661	0	3	0	0
probable receptor-like protein kinase At1g30570 isoform X1FUNC-31662	1	0	0	0
probable receptor-like protein kinase At1g80640FUNC-31663	5	0	0	0
probable receptor-like protein kinase At4g39110FUNC-31664	0	2	0	0
probable receptor-like protein kinase At5g24010FUNC-31665	10	2	0	0
probable receptor-like protein kinase At5g61350FUNC-31666	2	2	0	0
probable retinol dehydrogenase 8FUNC-31667	0	0	0	1
probable rho3 proteinFUNC-31668	0	0	1	2
probable RIB4-6,7-dimethyl-8-ribityllumazine synthaseFUNC-31669	3	1	0	0
probable riboflavin synthase alpha chainFUNC-31670	1	1	0	1
probable ribose-5-phosphate isomerase 3, chloroplasticFUNC-31671	4	0	0	0
probable ribosomal protein L17.e.A (cytosolic)FUNC-31672	0	0	2	0
probable ribosomal protein L21.e.A, cytosolicFUNC-31673	0	0	2	1
probable ribosomal protein L24.e.A, cytosolicFUNC-31674	2	2	2	1
probable ribosomal protein L35FUNC-31675	1	0	0	0
probable ribosomal protein L37.e.A, cytosolicFUNC-31676	1	0	0	0
probable ribosomal protein L7a.e.B, cytosolicFUNC-31677	0	0	1	2
probable ribosomal protein L9.e.c14FUNC-31678	0	1	0	0
probable ribosomal protein P2FUNC-31679	0	0	0	1
probable RNA 3'-terminal phosphate cyclase-like proteinFUNC-31680	1	0	0	0
probable RNA-binding protein (RRM superfamily)FUNC-31681	0	0	0	1
probable RNA-binding protein ARP1 isoform X2FUNC-31682	1	0	0	1
probable RNA-binding protein sce3FUNC-31683	0	0	0	1
probable RPE1-D-ribulose-5-phosphate 3-epimeraseFUNC-31684	1	0	1	1
probable RPL39-60S large subunit ribosomal protein L39.eFUNC-31685	2	2	2	6
probable RVS167 proteinFUNC-31686	0	1	4	0
probable S-adenosylmethionine decarboxylase (spe-2)FUNC-31687	1	0	0	1
probable S3 ribosomal proteinFUNC-31688	0	0	1	0
probable saccharopine reductaseFUNC-31689	1	0	0	1
probable secretory pathway GDP dissociation inhibitor 1FUNC-31690	0	0	1	0
probable serine acetyltransferase 2FUNC-31691	0	0	1	0
probable serine carboxypeptidase ARB_06414FUNC-31692	1	1	0	0
probable serine incorporatorFUNC-31693	55	15	0	4
probable serine palmitoyl CoA transferase subunit LcbAFUNC-31694	0	0	1	0
probable serine protease EDA2 isoform X2FUNC-31695	2	0	0	0
probable serine/threonine-protein kinase At1g01540 isoform X1FUNC-31696	1	0	0	0
probable serine/threonine-protein kinase At1g01540 isoform X2FUNC-31697	3	0	0	0
probable serine/threonine-protein kinase At1g54610FUNC-31698	3	0	0	1
probable serine/threonine-protein kinase PBL11 isoform X1FUNC-31699	1	0	0	0
probable serine/threonine-protein kinase PBL11 isoform X2FUNC-31700	5	0	0	0
probable serine/threonine-protein kinase PBL23 isoform X2FUNC-31701	2	0	0	0
probable serine/threonine-protein kinase PBL3FUNC-31702	1	0	0	0
probable serine/threonine-protein kinase PBL7 isoform X1FUNC-31703	1	0	0	0
probable serine/threonine-protein kinase PBL8FUNC-31704	0	0	0	1
probable serine/threonine-protein kinase PIX13FUNC-31705	4	0	0	0
probable serine/threonine-protein kinase SIS8FUNC-31706	0	1	0	0
probable serine/threonine-protein kinase SRPK1FUNC-31707	3	0	0	1
probable serine/threonine-protein kinase WNK4FUNC-31708	2	0	0	0
probable serine/threonine-protein kinase WNK9FUNC-31709	1	0	0	0
probable SNF2 family DNA-dependent ATPase domain-containing proteinFUNC-31710	0	0	0	1
probable SNF2 family helicase/ATPaseFUNC-31711	0	1	1	0
probable SNF7 family proteinFUNC-31712	1	0	0	0
probable SNF7 family protein (Cta1)FUNC-31713	0	0	0	1
probable splicing factor 3A subunit 1FUNC-31714	2	0	0	0
probable starch synthase 4, chloroplastic/amyloplastic isoform X1FUNC-31715	3	0	0	0
probable stearic acid desaturase (SdeA)FUNC-31716	0	0	0	1
probable sterigmatocystin biosynthesis P450 monooxygenase stcSFUNC-31717	0	1	0	0
probable steroid-binding protein 3FUNC-31718	1	4	0	0
probable sterol O-acyltransferase 1FUNC-31719	1	0	0	0
probable strigolactone esterase DAD2FUNC-31720	2	4	0	0
probable succinate dehydrogenaseFUNC-31721	2	1	0	2
probable succinate dehydrogenase (ubiquinone) flavoprotein precursor, mitochondrialFUNC-31722	1	1	0	0
probable succinyl-CoA:3-ketoacid coenzyme A transferase, mitochondrialFUNC-31723	0	1	0	0
probable sucrose-phosphate synthase 1FUNC-31724	0	2	0	0
probable sucrose-phosphate synthase 1 isoform X1FUNC-31725	1	0	0	0
probable sucrose-phosphate synthase 3FUNC-31726	1	0	0	0
probable sucrose-phosphate synthase 3 isoform X1FUNC-31727	1	0	0	0
probable sucrose-phosphate synthase 4FUNC-31728	3	0	1	0
probable sugar phosphate/phosphate translocator At1g12500FUNC-31729	6	3	0	0
probable sugar phosphate/phosphate translocator At1g12500 isoform X2FUNC-31730	1	0	0	0
probable sugar phosphate/phosphate translocator At3g11320FUNC-31731	11	0	2	0
probable sugar phosphate/phosphate translocator At3g11320 isoform X2FUNC-31732	3	0	0	0
probable sugar phosphate/phosphate translocator At4g32390FUNC-31733	6	5	0	0
probable sugar phosphate/phosphate translocator At5g25400FUNC-31734	8	0	0	0
probable sugar transporter STL1FUNC-31735	0	1	0	0
probable sulfate transporter 3.5FUNC-31736	1	1	0	0
probable Superoxide dismutaseFUNC-31737	0	0	0	2
probable T-complex protein 1 subunit etaFUNC-31738	0	0	0	1
probable t-complex-type molecular chaperone, epsilon subunitFUNC-31739	1	0	0	0
probable tatD-related DNaseFUNC-31740	0	0	1	0
probable TIF6-translation initiation factor 6 (eIF6)FUNC-31741	1	0	0	0
probable TIM-barrel enzyme family proteinFUNC-31742	1	0	0	0
probable tocopherol O-methyltransferase, chloroplasticFUNC-31743	0	2	0	0
probable TOM complex component Tom7FUNC-31744	0	1	0	0
probable TOM-70 mitochondrial precursor protein import receptor tom70FUNC-31745	1	0	0	1
